baixinz2::NEWTABLE,Title,TEXT,974,26
12 ANGRY MEN,Fri May  4 14:19:44 2018
FIGHT CLUB,Fri May  4 14:19:44 2018
FINDING DORY,Fri May  4 14:19:44 2018
FINDING NEMO,Fri May  4 14:19:44 2018
FORREST GUMP,Fri May  4 14:19:44 2018
GOOD FELLAS,Fri May  4 14:19:44 2018
INCEPTION,Fri May  4 14:19:44 2018
LALA LAND,Fri May  4 14:19:44 2018
LION KING,Fri May  4 14:19:44 2018
ONE FLEW OVER THE CNEST,Fri May  4 14:19:44 2018
PACIFIC RIM II,Fri May  4 14:19:44 2018
PULP FICTION,Fri May  4 14:19:44 2018
SCHINDLERS LIST,Fri May  4 14:19:44 2018
SEVEN SAMURAI,Fri May  4 14:19:44 2018
SHAPE OF WATER,Fri May  4 14:19:44 2018
STAR WAR,Fri May  4 14:19:44 2018
STAR WARSV,Fri May  4 14:19:44 2018
THE DARK KNIGHT,Fri May  4 14:19:44 2018
THE GODFATHER,Fri May  4 14:19:44 2018
THE GODFATHER II,Fri May  4 14:19:44 2018
THE GOOD BAD UGLY,Fri May  4 14:19:44 2018
THE LORD OF THE RINGS I,Fri May  4 14:19:44 2018
THE LORD OF THE RINGS II,Fri May  4 14:19:44 2018
THE LORD OF THE RINGS III,Fri May  4 14:19:44 2018
THE MATRIX,Fri May  4 14:19:44 2018
THE SHAWSHANK REDEMPTION,Fri May  4 14:19:44 2018
